Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,3.6000225495194536,tensor(14.7860),3.1495537880659104,tensor(20.8500)
1,2.7813824588990275,tensor(28.8780),2.585555694818497,tensor(32.1700)
2,2.309410285461894,tensor(38.7400),2.1808472146987916,tensor(41.0300)
3,1.9849387709137118,tensor(45.8420),1.90453649610281,tensor(47.2500)
4,1.7575793476665722,tensor(51.3620),1.8289249714016915,tensor(49.0300)
5,1.5836508216150582,tensor(55.4260),1.6711593793928623,tensor(53.2600)
6,1.4427685066867058,tensor(59.2500),1.5574817429631949,tensor(56.1200)
7,1.3291760948307985,tensor(62.1080),1.5111094614714384,tensor(57.2100)
8,1.2359148945344989,tensor(64.6280),1.4291628151684999,tensor(59.2100)
9,1.1445994944218785,tensor(66.8020),1.398742392450571,tensor(60.4500)
10,1.0800608606899487,tensor(68.7380),1.3277803226709366,tensor(61.7900)
11,1.0015909786114607,tensor(70.9100),1.2640622375681996,tensor(63.9300)
12,0.9467454484051756,tensor(72.4020),1.270527895756066,tensor(64.1500)
13,0.8983459265335746,tensor(73.7900),1.257572945202235,tensor(64.6600)
14,0.8443330648305166,tensor(75.4000),1.2178989172019064,tensor(65.4600)
15,0.7975685512623214,tensor(76.3940),1.2584404148161412,tensor(64.8600)
16,0.7490979879713424,tensor(77.9880),1.249474879845977,tensor(65.6800)
17,0.7109370566237613,tensor(79.1320),1.1946916239485144,tensor(66.7000)
18,0.678487988917724,tensor(79.9460),1.191615302991122,tensor(66.7700)
19,0.6449203754172605,tensor(81.0040),1.1434592819977552,tensor(67.6300)
20,0.6110781778002639,tensor(82.0640),1.191612315453589,tensor(67.3800)
21,0.5794565767583335,tensor(82.9860),1.2039574346207083,tensor(66.8700)
22,0.558297255383733,tensor(83.4740),1.1562855159249157,tensor(68.1300)
23,0.5264923922393633,tensor(84.4060),1.1749985306821764,tensor(68.5000)
24,0.5072334411808902,tensor(84.9700),1.1689304778589866,tensor(68.7800)
25,0.4935673033947225,tensor(85.4120),1.1764306215916294,tensor(68.5700)
26,0.47897871109225865,tensor(85.8500),1.1853894301131367,tensor(68.4900)
27,0.4527480005455749,tensor(86.5900),1.2212970476755873,tensor(67.8000)
28,0.43303867900158133,tensor(87.2060),1.1609335020780562,tensor(69.2200)
29,0.41790532795212154,tensor(87.7600),1.2483747120397166,tensor(67.6900)
30,0.4007835472788652,tensor(88.2160),1.2105088170338423,tensor(67.8900)
31,0.39870736041032445,tensor(88.3060),1.2207679567299783,tensor(68.1500)
32,0.3787826616364672,tensor(89.0320),1.1895560105107725,tensor(68.7900)
33,0.37127056733116776,tensor(89.1620),1.1608374366643839,tensor(69.6400)
34,0.36626070558719925,tensor(89.4740),1.2563763800729066,tensor(67.7900)
35,0.35228325613319417,tensor(89.6700),1.2804247802281752,tensor(67.3800)
36,0.3519905895909385,tensor(89.8080),1.255284510344267,tensor(67.5900)
37,0.3365736298853784,tensor(90.2860),1.2349059661105275,tensor(68.7300)
38,0.33606646840682114,tensor(90.4160),1.207244271427393,tensor(69.2300)
39,0.32987900867181663,tensor(90.5020),1.173100605053827,tensor(69.1100)
40,0.30948425067202817,tensor(91.0280),1.2374223100692034,tensor(68.7600)
41,0.3222897861086194,tensor(90.5540),1.2095410939072027,tensor(68.9700)
42,0.3024082471952414,tensor(91.1980),1.1913771290611477,tensor(70.0700)
43,0.3001044069790779,tensor(91.5620),1.2306510407477618,tensor(68.6900)
44,0.2890486050673458,tensor(91.8580),1.2367652251655237,tensor(69.0200)
45,0.30373834725231164,tensor(91.2540),1.314926734296605,tensor(67.5500)
46,0.2849819663616702,tensor(91.9040),1.2245788414105774,tensor(69.4700)
47,0.2790642639102838,tensor(92.2280),1.2565536130480468,tensor(68.9200)
48,0.2847325963437405,tensor(91.9020),1.278738998387591,tensor(68.6800)
49,0.28099850500407425,tensor(91.8720),1.251116543653421,tensor(68.5000)
50,0.27305854517785483,tensor(92.3520),1.248787460419815,tensor(69.1100)
51,0.27099534019332405,tensor(92.2680),1.2521907399995253,tensor(68.6000)
52,0.2745561605448003,tensor(92.1640),1.3734702232815326,tensor(67.1200)
53,0.2653772004348848,tensor(92.5080),1.322114720577374,tensor(67.4000)
54,0.26047680361191633,tensor(92.7080),1.2059378398917615,tensor(69.7600)
55,0.2501812981979926,tensor(93.0060),1.316583718251437,tensor(67.8900)
56,0.2717300046740286,tensor(92.3160),1.2377827369896695,tensor(68.8300)
57,0.2475693977778525,tensor(93.0980),1.3194017946906387,tensor(68.5300)
58,0.24396215337316704,tensor(93.2460),1.2759326145772356,tensor(69.1100)
59,0.24063617743723228,tensor(93.3500),1.3089743669759482,tensor(67.7800)
60,0.25284061155965565,tensor(92.9980),1.291420074949041,tensor(68.6100)
61,0.2573302520053161,tensor(92.6580),1.2723114803191273,tensor(69.3500)
62,0.24066850628770525,tensor(93.3660),1.3287183761398773,tensor(67.6200)
63,0.2452038472418285,tensor(93.0400),1.2747441207505763,tensor(68.6700)
64,0.24841974098283007,tensor(93.0320),1.2653864721588324,tensor(69.1500)
65,0.24655523779980668,tensor(93.0880),1.2823105010155122,tensor(68.8300)
66,0.2319741869331016,tensor(93.6620),1.2767267824411392,tensor(68.7600)
67,0.22073686494470557,tensor(93.7440),1.2700471764989196,tensor(68.7100)
68,0.2371451509997363,tensor(93.5000),1.2607812713708262,tensor(68.7800)
69,0.23076567175748097,tensor(93.6620),1.3038452491443604,tensor(69.1000)
70,0.24127699369969574,tensor(93.1000),1.2834859121416229,tensor(69.2000)
71,0.23708453355237957,tensor(93.4260),1.3414236354231834,tensor(67.8400)
72,0.23903281462695591,tensor(93.4320),1.3380727414395661,tensor(67.6700)
73,0.2239176238817937,tensor(93.8100),1.3061842871587723,tensor(68.1400)
74,0.22128705609866114,tensor(93.9820),1.2658882707003505,tensor(70.0500)
75,0.21598145342848796,tensor(94.1200),1.3381208417713641,tensor(68.2600)
76,0.21762295997203768,tensor(93.8720),1.2998953062242944,tensor(68.8600)
77,0.21332969535570925,tensor(94.2080),1.3102033366793766,tensor(68.7700)
78,0.22014087726316794,tensor(93.9780),1.2973033527359366,tensor(69.2900)
79,0.22703246151089973,tensor(93.6920),1.3233372544422746,tensor(68.4200)
80,0.21996440812754814,tensor(94.0340),1.3518841350432484,tensor(68.0100)
81,0.22431931113038223,tensor(93.8180),1.286156429889612,tensor(68.9800)
82,0.22102140267486767,tensor(93.9900),1.3088297857455908,tensor(67.4700)
83,0.21437204227118237,tensor(94.1600),1.2445314750475809,tensor(70.1100)
84,0.21529601438118673,tensor(94.1340),1.387484651044011,tensor(67.1200)
85,0.21693156324231716,tensor(94.0780),1.2319326826455073,tensor(69.9900)
86,0.20336466221629507,tensor(94.4980),1.3353696099454537,tensor(68.3300)
87,0.2084679051547709,tensor(94.3320),1.2862109931968153,tensor(69.1000)
88,0.20824184554540898,tensor(94.3000),1.2722631805986166,tensor(69.2600)
89,0.21403891118743534,tensor(94.1640),1.3217554187686182,tensor(67.8900)
90,0.2045866861139112,tensor(94.4660),1.2943918984765186,tensor(68.6800)
91,0.22342137778963883,tensor(93.7560),1.3300839822306298,tensor(68.1700)
92,0.2106061002330097,tensor(94.3020),1.3169933160534129,tensor(68.3000)
93,0.20367628034880703,tensor(94.3780),1.3199065435575321,tensor(68.7200)
94,0.20189915452619342,tensor(94.6020),1.3183836359083652,tensor(68.7500)
95,0.19749866090619655,tensor(94.7420),1.3216246014717035,tensor(68.5500)
96,0.2119626251747236,tensor(94.2000),1.3310826080138796,tensor(68.2800)
97,0.21372406685824893,tensor(94.1320),1.2981039764401503,tensor(69.8500)
98,0.19614220355325343,tensor(94.6520),1.3363510362999513,tensor(68.6200)
99,0.2107533810236265,tensor(94.1520),1.3652335807196796,tensor(68.4100)
100,0.2117013593616388,tensor(94.2060),1.3394681004006415,tensor(67.8600)
101,0.2091470098747012,tensor(94.2480),1.360849088936113,tensor(68.5000)
102,0.20392921401183015,tensor(94.3880),1.2998331561810337,tensor(69.)
103,0.1984029950959908,tensor(94.6380),1.2947668093256652,tensor(69.5600)
104,0.19980816792725298,tensor(94.5520),1.2905785729894415,tensor(69.1300)
105,0.20654324432620613,tensor(94.3060),1.3572350741298869,tensor(68.3500)
106,0.19268651220880811,tensor(94.8660),1.3320207139356062,tensor(69.2600)
107,0.19526830408960352,tensor(94.6900),1.3022498075906188,tensor(69.1000)
108,0.20154362562519815,tensor(94.5880),1.3137658264082857,tensor(68.9000)
109,0.192457571968703,tensor(94.7380),1.389556147126481,tensor(67.5500)
110,0.2018101947081973,tensor(94.5560),1.323787756827427,tensor(69.2800)
111,0.19553818376472845,tensor(94.7500),1.397773578941822,tensor(67.4700)
112,0.19676728599973956,tensor(94.6920),1.3131017733067274,tensor(68.9700)
113,0.19933586449498106,tensor(94.5240),1.2952919673761354,tensor(69.3900)
114,0.18180308191825056,tensor(95.1520),1.3618724647480995,tensor(67.6000)
115,0.20070089232128904,tensor(94.6060),1.3995918627139181,tensor(67.2500)
116,0.20632415891760755,tensor(94.2920),1.3330872214111733,tensor(68.7100)
117,0.20166964977598556,tensor(94.5800),1.347430308187846,tensor(68.5000)
118,0.1948563541140398,tensor(94.7940),1.312180700218305,tensor(68.9900)
119,0.2027049907066328,tensor(94.4960),1.34955518229492,tensor(68.0100)
120,0.18885354954949427,tensor(95.0300),1.2456527434424498,tensor(69.7600)
121,0.193833386330196,tensor(94.7940),1.4029128087293357,tensor(67.5500)
122,0.1957956962382702,tensor(94.7300),1.298755702466704,tensor(69.5200)
123,0.19243240013451832,tensor(94.8420),1.323391530890949,tensor(69.6000)
124,0.18800010187241734,tensor(95.0920),1.279854015838122,tensor(69.8700)
125,0.19417292754287305,tensor(94.7840),1.345929243264487,tensor(68.7400)
126,0.1847101886902014,tensor(95.0660),1.3113217990279664,tensor(69.3300)
127,0.19378364593019265,tensor(94.8060),1.3242085899177474,tensor(68.8200)
128,0.19368429289525732,tensor(94.7080),1.395723768078722,tensor(67.9700)
129,0.19878971094594283,tensor(94.4940),1.3559652019366621,tensor(68.2600)
130,0.1892119367866565,tensor(94.8600),1.3204692912853788,tensor(69.5500)
131,0.18381473660240394,tensor(95.0960),1.3379739215867594,tensor(68.4400)
132,0.17889905336034267,tensor(95.2860),1.3456913739908487,tensor(68.3200)
133,0.194669676577801,tensor(94.7320),1.3639284938317724,tensor(68.2300)
134,0.19300226520394426,tensor(94.7820),1.3458789227465167,tensor(67.9400)
135,0.18635859736777327,tensor(94.9360),1.325987347798422,tensor(68.8800)
136,0.18436637303560896,tensor(95.1000),1.4532845073752105,tensor(67.2000)
137,0.1979063359062995,tensor(94.7160),1.3153774697594345,tensor(68.3800)
138,0.1947664047407982,tensor(94.7940),1.3383954603578896,tensor(69.4000)
139,0.19758967346395068,tensor(94.6200),1.2876006925812689,tensor(69.8000)
140,0.17176921608502907,tensor(95.4720),1.3475555996866897,tensor(68.4300)
141,0.1789308210925373,tensor(95.2920),1.370405599180609,tensor(69.2700)
142,0.18845227696096806,tensor(94.9020),1.3529707843884826,tensor(68.8300)
143,0.18371918758429834,tensor(95.1520),1.395206137626432,tensor(68.5200)
144,0.19060144878333182,tensor(94.7860),1.3716902771047317,tensor(68.4700)
145,0.1790671372390769,tensor(95.2060),1.3365033328358549,tensor(69.2400)
146,0.19110391910195046,tensor(94.8020),1.2734706103336066,tensor(69.5900)
147,0.18176955098996078,tensor(95.1280),1.3893597729094327,tensor(67.8100)
148,0.16627216225732927,tensor(95.6320),1.3162971038538962,tensor(69.6800)
149,0.16921543692002822,tensor(95.6460),1.3469296241502744,tensor(68.4600)
150,0.07109125469670728,tensor(98.6760),1.0259504037110019,tensor(74.6800)
151,0.03959925759993398,tensor(99.4580),1.0103993014483712,tensor(75.2100)
152,0.031438420876822505,tensor(99.6700),1.0041174965539248,tensor(75.8000)
153,0.02742560235235621,tensor(99.7560),0.9960612042067806,tensor(75.6100)
154,0.02564648461654363,tensor(99.7940),0.9921241556529421,tensor(75.8600)
155,0.023382479353519656,tensor(99.8140),0.9933421280838666,tensor(75.7300)
156,0.02247867409063651,tensor(99.8620),0.9893079037882854,tensor(75.7600)
157,0.02196336125054628,tensor(99.8580),0.9893372465450084,tensor(75.9800)
158,0.021414331351037676,tensor(99.8620),0.9840411096586613,tensor(75.9500)
159,0.020280365746401612,tensor(99.8660),0.977359509264119,tensor(76.1100)
160,0.02007859379834379,tensor(99.9000),0.982885399713181,tensor(76.)
161,0.019725650096374094,tensor(99.8820),0.9841721859003882,tensor(75.7400)
162,0.019602207150167365,tensor(99.8940),0.9809227449268219,tensor(75.8200)
163,0.019307059254926033,tensor(99.9000),0.9809267905665329,tensor(75.9800)
164,0.019379353812893334,tensor(99.9120),0.9758247197353048,tensor(76.1000)
165,0.01886420835600332,tensor(99.9140),0.9771249098399422,tensor(76.0200)
166,0.01922958275860609,tensor(99.9100),0.9726394760658732,tensor(75.9700)
167,0.019121654407904885,tensor(99.9300),0.9707492019148777,tensor(76.1000)
168,0.018745497421687827,tensor(99.9060),0.9709677507277811,tensor(76.0400)
169,0.0188512082099724,tensor(99.9280),0.9692308299090946,tensor(76.1000)
170,0.018683468918208882,tensor(99.9420),0.9738231471888721,tensor(76.0500)
171,0.01963530018773225,tensor(99.9160),0.9699391695450759,tensor(75.8900)
172,0.018723515603129213,tensor(99.9440),0.9736359653092804,tensor(75.8700)
173,0.01912611330885564,tensor(99.9140),0.9667344073883724,tensor(75.8400)
174,0.01935409715213358,tensor(99.9320),0.9712430780490394,tensor(76.0200)
175,0.019235097936561803,tensor(99.9260),0.9716047681707424,tensor(75.9000)
176,0.019531126141243273,tensor(99.9400),0.9687787220659666,tensor(76.0400)
177,0.019348985722760104,tensor(99.9200),0.9695378711146768,tensor(76.1100)
178,0.019286808569717893,tensor(99.9500),0.9719158354464452,tensor(75.9900)
179,0.019670574206506353,tensor(99.9400),0.9652599016519962,tensor(76.2300)
180,0.019370783711104747,tensor(99.9520),0.9615255458777537,tensor(76.2300)
181,0.019702777657133845,tensor(99.9560),0.9651912750120973,tensor(76.1200)
182,0.019813516575014196,tensor(99.9460),0.9683909515838605,tensor(76.0600)
183,0.019968627506624096,tensor(99.9400),0.9685636169831269,tensor(76.0300)
184,0.02055757920331586,tensor(99.9360),0.9675690178051591,tensor(76.2100)
185,0.020314505107014838,tensor(99.9400),0.9689627130186418,tensor(76.0700)
186,0.020931734877359838,tensor(99.9500),0.9667549980222248,tensor(76.1500)
187,0.02046589710085136,tensor(99.9480),0.9651714413131122,tensor(76.1800)
188,0.020498159098560394,tensor(99.9300),0.9708413100319448,tensor(75.9100)
189,0.021230369996841605,tensor(99.9260),0.9703430560813285,tensor(76.0400)
190,0.02129370090849412,tensor(99.9440),0.9682209521960468,tensor(76.0400)
191,0.02128614978555142,tensor(99.9540),0.9688271072786301,tensor(75.9800)
192,0.020780811836595272,tensor(99.9660),0.966799352603266,tensor(76.1600)
193,0.021974954403974973,tensor(99.9380),0.9681782212952385,tensor(76.0900)
194,0.021540466569783284,tensor(99.9480),0.9698023949021007,tensor(76.3400)
195,0.022049450434630028,tensor(99.9400),0.9669406835755799,tensor(76.0700)
196,0.021846498465141678,tensor(99.9480),0.9700355508143548,tensor(76.0700)
197,0.022009722350160483,tensor(99.9300),0.9700567377211992,tensor(76.0900)
198,0.0218047675012094,tensor(99.9540),0.9721303775308188,tensor(75.9400)
199,0.022182965951273812,tensor(99.9300),0.9766336763175204,tensor(75.7000)
200,0.022416278562696693,tensor(99.9480),0.973138829825446,tensor(76.1600)
201,0.022790896896835024,tensor(99.9520),0.9704103987398557,tensor(76.0500)
202,0.02260711044073105,tensor(99.9360),0.9715430397745222,tensor(75.9800)
203,0.022580653471905555,tensor(99.9400),0.9766758276585024,tensor(75.9600)
204,0.02223195823247704,tensor(99.9580),0.9779003478102386,tensor(75.9200)
205,0.022666617325218893,tensor(99.9640),0.9773039466370829,tensor(76.0100)
206,0.02302860557947241,tensor(99.9400),0.9777090901685879,tensor(76.1400)
207,0.023069085448484898,tensor(99.9520),0.9752467031059787,tensor(75.9400)
208,0.023548233177503358,tensor(99.9400),0.9756950099591631,tensor(76.0800)
209,0.023009499010946746,tensor(99.9520),0.9774355664630421,tensor(75.9400)
210,0.02320836967481372,tensor(99.9580),0.9769363180228975,tensor(76.1400)
211,0.023224731518998933,tensor(99.9420),0.979396646718029,tensor(76.0200)
212,0.02328246613473767,tensor(99.9520),0.9811228486036416,tensor(76.1800)
213,0.02337812060904701,tensor(99.9440),0.9790952384776902,tensor(76.0200)
214,0.023341692495814827,tensor(99.9500),0.9827811975402292,tensor(76.1500)
215,0.023773328979949816,tensor(99.9460),0.9888665440415498,tensor(75.9700)
216,0.023365664634081865,tensor(99.9600),0.9881443204393144,tensor(76.1000)
217,0.02410079135090265,tensor(99.9500),0.9871728566018865,tensor(76.)
218,0.02418972723795782,tensor(99.9400),0.9880731555537786,tensor(76.0400)
219,0.02355978803713913,tensor(99.9640),0.9849563299235888,tensor(75.9400)
220,0.024016262591837922,tensor(99.9420),0.9882049589580856,tensor(76.0200)
221,0.02432182967386511,tensor(99.9440),0.9881894856889266,tensor(76.0300)
222,0.02384216065430428,tensor(99.9520),0.9893116675289347,tensor(75.7300)
223,0.02437472318434883,tensor(99.9460),0.9915116785995196,tensor(75.7700)
224,0.024080406905382948,tensor(99.9520),0.9939579673856497,tensor(75.9400)
225,0.023498039942739718,tensor(99.9620),0.9905443696831353,tensor(76.0100)
226,0.02308527175861094,tensor(99.9560),0.9900097162346355,tensor(75.8300)
227,0.022816068566668672,tensor(99.9660),0.9905813017401378,tensor(75.9600)
228,0.02280436232066749,tensor(99.9700),0.9858725984776393,tensor(76.0100)
229,0.022961740929852512,tensor(99.9580),0.9872887578790541,tensor(76.1200)
230,0.02276628486612035,tensor(99.9660),0.9889315411443822,tensor(76.0800)
231,0.022294933557548486,tensor(99.9600),0.9919201327550691,tensor(75.8800)
232,0.022422567140930296,tensor(99.9680),0.9897984607690014,tensor(75.8100)
233,0.022701353787461204,tensor(99.9720),0.9926475563845597,tensor(76.0200)
234,0.02299246122426999,tensor(99.9580),0.9904039708832278,tensor(75.8600)
235,0.022609672463877732,tensor(99.9620),0.9932550513269379,tensor(75.9600)
236,0.023330616807598438,tensor(99.9700),0.9917419315893203,tensor(75.9200)
237,0.022413661112756375,tensor(99.9620),0.9905346665533725,tensor(75.9600)
238,0.02291196218603636,tensor(99.9640),0.9908458842807449,tensor(75.8800)
239,0.022815733693082773,tensor(99.9520),0.9895332495572511,tensor(76.0500)
240,0.02235857514983705,tensor(99.9700),0.9916868649483659,tensor(75.8900)
241,0.022007885224678937,tensor(99.9740),0.9928660120079293,tensor(75.9000)
242,0.022686887087057465,tensor(99.9600),0.9897669454151764,tensor(76.0100)
243,0.02269797623776795,tensor(99.9680),0.9919361862652004,tensor(75.9200)
244,0.022472727367335268,tensor(99.9660),0.9917308605755679,tensor(75.9400)
245,0.02248683193093523,tensor(99.9700),0.9904681125432253,tensor(76.1000)
246,0.022458149284562644,tensor(99.9520),0.9975966412532143,tensor(75.7500)
247,0.02235176704366646,tensor(99.9580),0.9930111738420092,tensor(75.8700)
248,0.022574612156242665,tensor(99.9560),0.9875868538431823,tensor(75.9200)
249,0.022313197857945624,tensor(99.9800),0.9912948809736408,tensor(75.9800)
250,0.022503687383230688,tensor(99.9680),0.9907636923270766,tensor(75.9100)
251,0.02249383859460235,tensor(99.9700),0.9943722755473573,tensor(76.0100)
252,0.022598047038097212,tensor(99.9680),0.9932811036310158,tensor(76.)
253,0.022657458708547722,tensor(99.9600),0.9933403005874716,tensor(75.9200)
254,0.022616790431311064,tensor(99.9720),0.9933985573472455,tensor(75.8700)
255,0.02211596369695709,tensor(99.9740),0.989788010197226,tensor(76.0400)
256,0.022843838188216052,tensor(99.9640),0.9927808675572741,tensor(75.8700)
257,0.02219305497587032,tensor(99.9540),0.9925096670500934,tensor(75.9500)
258,0.02247405995893509,tensor(99.9740),0.9904830965325236,tensor(76.)
259,0.022427624232038056,tensor(99.9520),0.9913506839699112,tensor(75.8200)
260,0.022529194617400997,tensor(99.9660),0.9916361848893576,tensor(75.8300)
261,0.02199886695903433,tensor(99.9580),0.9917302333244589,tensor(76.1100)
262,0.02229072206922809,tensor(99.9660),0.9932446090793237,tensor(75.9800)
263,0.02244154471532463,tensor(99.9580),0.9924782259857747,tensor(75.8000)
264,0.022297545829240012,tensor(99.9660),0.9917994097336196,tensor(75.8600)
265,0.02259695905325053,tensor(99.9680),0.9885000406922773,tensor(75.8700)
266,0.022398612302396915,tensor(99.9660),0.9901330897465814,tensor(76.1000)
267,0.022943384833443346,tensor(99.9700),0.9923558296002447,tensor(75.9500)
268,0.02272948174430129,tensor(99.9720),0.9916352152358741,tensor(76.1800)
269,0.022245757674793604,tensor(99.9740),0.9940983724682592,tensor(75.8900)
270,0.02234409839067313,tensor(99.9760),0.9911624992671423,tensor(75.9700)
271,0.022387072563057057,tensor(99.9780),0.9938378091915511,tensor(75.9100)
272,0.022373253003220118,tensor(99.9800),0.9923141382709145,tensor(75.9100)
273,0.021937754350569088,tensor(99.9680),0.9923921635076404,tensor(76.1100)
274,0.02221581490372148,tensor(99.9560),0.990772195035126,tensor(76.0100)
275,0.022647283068569876,tensor(99.9480),0.9958858959618956,tensor(75.7100)
276,0.022226144126175768,tensor(99.9680),0.9950763261248358,tensor(75.8700)
277,0.022228251235164188,tensor(99.9680),0.9911041553509422,tensor(75.9400)
278,0.022284346630277535,tensor(99.9600),0.990686388826929,tensor(76.1000)
279,0.022363758541148186,tensor(99.9620),0.9925029024304822,tensor(75.9200)
280,0.022080430329855905,tensor(99.9720),0.9913412073543295,tensor(75.9300)
281,0.022705782881325774,tensor(99.9600),0.9935400551175698,tensor(76.0600)
282,0.02211204995317837,tensor(99.9760),0.9917773568101693,tensor(75.9100)
283,0.0223007338083423,tensor(99.9760),0.9953041738993488,tensor(75.8200)
284,0.022353800173248627,tensor(99.9800),0.989481555725215,tensor(75.9800)
285,0.022479097735222497,tensor(99.9720),0.9955911559374072,tensor(76.)
286,0.022279091574766142,tensor(99.9680),0.9908775611775927,tensor(75.9200)
287,0.022139938019425667,tensor(99.9640),0.9936447036722675,tensor(75.9800)
288,0.022344843722651223,tensor(99.9640),0.9877368446248583,tensor(75.8900)
289,0.02263372488882002,tensor(99.9560),0.9916554974475875,tensor(75.9600)
290,0.022358397391084056,tensor(99.9540),0.9946750486104283,tensor(75.9300)
291,0.02235329410066004,tensor(99.9660),0.995049798051361,tensor(75.8800)
292,0.022227811538959707,tensor(99.9740),0.9950325907005463,tensor(75.9900)
293,0.022215237209806813,tensor(99.9740),0.995571347483201,tensor(75.7300)
294,0.02239490837058829,tensor(99.9640),0.9935349106241483,tensor(75.9000)
295,0.022387647069990635,tensor(99.9680),0.9927290855848696,tensor(75.8600)
296,0.022367804320743475,tensor(99.9640),0.9917191344229505,tensor(76.0200)
297,0.02241688175722385,tensor(99.9640),0.9967646404749249,tensor(75.8600)
298,0.02261676989219454,tensor(99.9640),0.9901778852471617,tensor(76.)
299,0.022204615216216316,tensor(99.9600),0.9979541178520304,tensor(75.6800)
